CHROM	BIN_START	N_SNPS	TajimaD	Region
2A	12200000	68	-0.192267	Central
2A	12210000	36	0.468016	Central
2A	12220000	37	-0.966489	Central
2A	12240000	9	-0.207763	Central
2A	12280000	17	-0.98543	Central
2A	12290000	8	-1.66397	Central
2A	12310000	1	-0.654639	Central
2A	12320000	17	0.816743	Central
2A	12330000	9	1.66216	Central
2A	12340000	11	-1.50624	Central
2A	12360000	10	1.1123	Central
2A	12440000	1	-0.908196	Central
2A	12480000	2	-0.770381	Central
2A	12520000	1	-0.492256	Central
2A	12580000	7	0.0258355	Central
2A	12610000	29	3.63609	Central
2A	12890000	10	0.96944	Central
2A	12910000	20	0.329183	Central
2A	12930000	1	-0.737827	Central
2A	12940000	1	-0.908196	Central
2A	12960000	1	-0.654639	Central
2A	12980000	31	-0.458247	Central
2A	13000000	21	-0.470081	Central
2A	13010000	14	-1.89879	Central
2A	13020000	3	-0.859906	Central
2A	13030000	49	1.27012	Central
2A	13060000	12	-0.942924	Central
2A	13100000	5	-1.63838	Central
2A	13110000	24	-1.30492	Central
2A	13120000	15	2.9933	Central
2A	13130000	62	0.326288	Central
2A	13140000	2	-1.00042	Central
2A	13240000	3	-1.56654	Central
2A	13250000	1	-0.258664	Central
2A	13400000	8	-0.271798	Central
2A	13430000	30	-0.0291318	Central
2A	13530000	2	-0.992364	Central
2A	13600000	12	1.05005	Central
2A	13610000	4	-0.935664	Central
2A	13700000	3	-1.43003	Central
2A	13810000	6	-0.252773	Central
2A	13820000	7	-0.292787	Central
2A	13830000	14	-1.05727	Central
2A	13840000	18	-0.924454	Central
2A	13860000	6	-1.79968	Central
2A	13910000	4	-1.44718	Central
2A	13920000	12	-0.691254	Central
2A	14020000	2	0.139925	Central
2A	14060000	20	-0.655575	Central
2A	14070000	1	-0.822346	Central
2A	14210000	16	-0.628026	Central
2A	14280000	1	-0.654639	Central
2A	14290000	10	0.179964	Central
2A	14300000	26	0.486491	Central
2A	14330000	7	-0.159552	Central
2A	14400000	39	-0.077408	Central
2A	14420000	1	-0.183462	Central
2A	14500000	5	-1.5433	Central
2A	14530000	41	2.69319	Central
2A	14570000	29	2.20617	Central
2A	14700000	3	-0.774719	Central
2A	14710000	13	-0.115447	Central
2A	14720000	6	-1.13502	Central
2A	14740000	4	-1.21926	Central
2A	14750000	7	-1.11522	Central
2A	14810000	2	-1.22151	Central
2A	14820000	3	-0.527538	Central
2A	14870000	5	2.85949	Central
2A	14880000	13	0.718742	Central
2A	14890000	14	-0.971822	Central
2A	14900000	8	-0.608646	Central
2A	14910000	2	-1.10604	Central
2A	14930000	4	-1.10646	Central
2A	14940000	9	2.5059	Central
2A	14950000	31	0.418151	Central
2A	15000000	9	-0.0357804	Central
2A	15010000	20	-0.703208	Central
2A	15150000	1	-0.995377	Central
2A	15180000	6	-1.12118	Central
2A	15220000	5	-0.746244	Central
2A	15330000	17	-2.13272	Central
2A	15400000	20	-1.52867	Central
2A	15440000	9	-0.360963	Central
2A	15450000	19	-0.884673	Central
2A	15520000	40	-0.784176	Central
2A	15530000	8	-1.15388	Central
2A	15590000	5	-1.22737	Central
2A	15600000	2	-1.16377	Central
2A	15610000	19	-0.996906	Central
2A	15620000	7	-0.396305	Central
2A	15640000	4	-0.487652	Central
2A	15840000	2	-0.197076	Central
2A	15860000	1	-0.822346	Central
2A	15870000	3	-0.407788	Central
2A	15880000	32	-0.20189	Central
2A	15890000	2	-0.992364	Central
2A	15900000	7	-1.16206	Central
2A	15930000	2	-1.10604	Central
2A	15940000	2	1.36754	Central
2A	15950000	9	-0.870051	Central
2A	15960000	1	-0.109592	Central
2A	16010000	22	-1.16109	Central
2A	16020000	2	-0.716228	Central
2A	16060000	4	-1.58347	Central
2A	16070000	27	-0.776674	Central
2A	16080000	1	0.172582	Central
2A	16090000	1	-0.492256	Central
2A	16120000	11	-0.504826	Central
2A	16130000	1	-0.908196	Central
2A	16150000	16	-0.485297	Central
2A	16250000	6	-1.62956	Central
2A	16260000	1	-0.908196	Central
2A	16270000	14	0.882925	Central
2A	16340000	29	0.80911	Central
2A	16360000	28	-1.09429	Central
2A	16370000	69	0.733149	Central
2A	16380000	3	-0.249983	Central
2A	16390000	14	1.3874	Central
2A	16400000	10	-1.15517	Central
2A	16410000	9	-0.42662	Central
2A	16430000	10	-1.77135	Central
2A	16460000	17	-1.41937	Central
2A	16480000	3	-0.512526	Central
2A	16490000	2	-0.825429	Central
2A	16520000	90	2.86558	Central
2A	16550000	33	1.96644	Central
2A	16560000	3	-0.174572	Central
2A	16600000	57	-0.918826	Central
2A	16610000	2	-0.880477	Central
2A	16660000	20	-1.1598	Central
2A	16710000	4	-1.58289	Central
2A	16720000	21	-1.19148	Central
2A	16730000	9	-1.69681	Central
2A	16750000	3	-0.652176	Central
2A	16760000	14	-1.82247	Central
2A	16810000	1	-0.995377	Central
2A	16820000	5	-1.63838	Central
2A	16830000	20	-0.172637	Central
2A	16860000	10	-0.625183	Central
2A	16870000	53	-0.519499	Central
2A	16880000	40	-0.739944	Central
2A	16890000	21	-0.621556	Central
2A	16900000	53	0.663862	Central
2A	16960000	38	-2.0554	Central
2A	16980000	4	-0.663667	Central
2A	17000000	23	-0.605439	Central
2A	17020000	40	-1.2284	Central
2A	17030000	139	-0.630383	Central
2A	17040000	14	-0.450258	Central
2A	17100000	23	-0.0750199	Central
2A	17110000	70	-0.623315	Central
2A	17130000	3	-1.47507	Central
2A	17140000	2	-0.778437	Central
2A	17200000	15	-2.44878	Central
2A	17230000	6	-1.56296	Central
2A	17310000	3	-1.29492	Central
2A	17410000	7	-0.173328	Central
2A	17420000	2	-0.55556	Central
2A	17440000	5	-1.44872	Central
2A	17470000	10	1.37043	Central
2A	17480000	4	-0.688315	Central
2A	17490000	3	-1.42933	Central
2A	17500000	5	0.391449	Central
2A	17530000	2	-1.28013	Central
2A	17540000	20	-1.56524	Central
2A	17550000	9	-0.777119	Central
2A	17590000	7	-0.154632	Central
2A	17600000	8	-1.92553	Central
2A	17650000	7	-0.804473	Central
2A	17680000	1	0.0341571	Central
2A	17730000	3	-1.34205	Central
2A	17830000	1	-0.822346	Central
2A	17840000	20	-2.56733	Central
2A	17850000	32	-1.93215	Central
2A	17890000	8	-1.43917	Central
2A	17950000	37	0.063063	Central
2A	17980000	6	-0.950177	Central
2A	18010000	71	-0.159738	Central
2A	18020000	8	0.459884	Central
2A	18050000	21	-0.942371	Central
2A	18060000	2	0.322523	Central
2A	18080000	21	-0.59159	Central
2A	18150000	1	-0.822346	Central
2A	18160000	1	-0.908196	Central
2A	18170000	1	-0.908196	Central
2A	18180000	10	-0.620663	Central
2A	18290000	19	-0.680286	Central
2A	18300000	2	-1.22151	Central
2A	18310000	33	-0.189901	Central
2A	18320000	31	-0.427802	Central
2A	18330000	52	-1.2199	Central
2A	18350000	40	-0.847246	Central
2A	18360000	36	-1.87239	Central
2A	18410000	8	-0.704098	Central
2A	18420000	11	-1.3789	Central
2A	18540000	1	-0.572782	Central
2A	18610000	2	-0.347899	Central
2A	18640000	9	-1.47191	Central
2A	18670000	7	0.746919	Central
2A	18830000	4	-1.00004	Central
2A	18860000	14	-2.05733	Central
2A	19040000	20	-0.477745	Central
2A	19080000	32	-1.03407	Central
2A	19100000	7	-0.0245458	Central
2A	19120000	15	-1.49973	Central
2A	19160000	13	-0.062245	Central
2A	19170000	21	-1.3744	Central
2A	19300000	5	-1.25857	Central
2A	19350000	8	-1.94783	Central
2A	19370000	2	-1.33876	Central
2A	19400000	2	-1.22151	Central
2A	19430000	27	-1.36585	Central
2A	19440000	13	-0.594998	Central
2A	19470000	18	-0.670099	Central
2A	19480000	1	-0.335197	Central
2A	19560000	1	-0.822346	Central
2A	19580000	30	-0.125646	Central
2A	19590000	12	-2.34527	Central
2A	19640000	4	0.138116	Central
2A	19650000	3	-1.03237	Central
2A	19660000	36	-1.8446	Central
2A	19830000	5	-1.13529	Central
2A	19900000	12	-1.70812	Central
2A	19910000	5	-0.954618	Central
2A	19920000	25	-1.28293	Central
2A	19930000	2	-1.33876	Central
2A	19940000	5	-0.98082	Central
2A	20010000	1	-0.822346	Central
2A	20240000	1	-0.822346	Central
2A	20320000	16	-1.03499	Central
2A	20330000	1	-0.0370517	Central
2A	20360000	7	-2.03468	Central
2A	20500000	4	-1.03397	Central
2A	20510000	4	-1.28595	Central
2A	20550000	2	-0.880477	Central
2A	20640000	5	-1.83353	Central
2A	20660000	1	-0.995377	Central
2A	20790000	6	-1.68626	Central
2A	20850000	18	-1.18219	Central
2A	21000000	11	-0.0398023	Central
2A	21020000	4	0.385755	Central
2A	21140000	1	-0.995377	Central
2A	21150000	3	-1.56654	Central
2A	21200000	13	0.427603	Central
2A	21220000	7	0.862442	Central
2A	21230000	28	0.875192	Central
2A	21240000	7	0.480449	Central
2A	21250000	5	1.18776	Central
2A	21260000	11	1.31734	Central
2A	21270000	27	-0.848543	Central
2A	21280000	4	0.838117	Central
2A	21290000	1	0.0341571	Central
2A	21340000	5	0.226248	Central
2A	21400000	15	-1.66705	Central
2A	21410000	4	-1.47067	Central
2A	21450000	21	-1.93256	Central
2A	21460000	32	-1.03174	Central
2A	21510000	1	-0.908196	Central
2A	21530000	3	2.0361	Central
2A	21640000	3	-1.5208	Central
2A	21730000	12	-0.559409	Central
2A	21740000	1	-0.995377	Central
2A	21820000	1	-0.654639	Central
2A	21830000	1	-0.995377	Central
2A	21840000	2	0.232119	Central
2A	21920000	5	-1.70277	Central
2A	21940000	1	-0.492256	Central
2A	22000000	5	-1.73546	Central
2A	22060000	5	-1.55728	Central
2A	22120000	11	-0.460045	Central
2A	22160000	13	-2.20735	Central
2A	22240000	7	-1.58046	Central
2A	22260000	1	-0.908196	Central
2A	22550000	4	-0.653228	Central
2A	22570000	35	-0.897014	Central
2A	22580000	1	-0.413061	Central
2A	22740000	6	-1.97244	Central
2A	23360000	10	-1.86387	Central
2A	23370000	3	-1.42933	Central
2A	23420000	1	-0.654639	Central
2A	23470000	6	-0.114963	Central
2A	23540000	1	-0.572782	Central
2A	23750000	23	-0.323787	Central
2A	23830000	1	-0.908196	Central
2A	23880000	2	2.16462	Central
2A	23890000	25	-1.0898	Central
2A	23900000	2	-0.825429	Central
2A	23910000	2	-0.880477	Central
2A	23920000	2	0.231224	Central
2A	23930000	11	-1.58797	Central
2A	23940000	6	-1.33503	Central
2A	23950000	22	-0.520939	Central
2A	23960000	5	1.58329	Central
2A	23970000	5	0.0323481	Central
2A	24000000	12	0.502673	Central
2A	24020000	25	0.571496	Central
2A	24030000	15	1.33652	Central
2A	24050000	6	1.74075	Central
2A	24060000	8	0.920374	Central
2A	24110000	27	0.69657	Central
2A	24130000	4	-0.448505	Central
2A	24140000	7	2.10603	Central
2A	24150000	6	0.262642	Central
2A	24160000	13	0.425642	Central
2A	24170000	16	0.0014701	Central
2A	24180000	4	-0.38587	Central
2A	24190000	6	0.63673	Central
2A	24210000	10	-1.56445	Central
2A	24270000	9	-0.330258	Central
2A	24280000	1	0.239798	Central
2A	24300000	6	0.378034	Central
2A	24310000	9	-1.38126	Central
2A	24340000	17	-2.14581	Central
2A	24360000	3	-1.29422	Central
2A	24390000	2	-0.197076	Central
2A	24400000	2	-0.347899	Central
2A	24410000	1	-0.109592	Central
2A	24530000	3	-1.56654	Central
2A	25020000	7	-1.70347	Central
2A	25100000	5	-1.44823	Central
2A	25350000	1	-0.908196	Central
2A	25360000	5	-1.80134	Central
2A	25440000	12	-2.13986	Central
2A	25540000	13	-2.25504	Central
2A	25580000	8	-2.01831	Central
2A	25670000	1	-0.995377	Central
2A	25710000	4	-1.58347	Central
2A	26020000	1	-0.908196	Central
2A	26600000	1	-0.995377	Central
2A	26640000	1	-0.908196	Central
2A	26850000	2	-1.33876	Central
2A	26860000	3	-1.5208	Central
2A	26870000	1	-0.995377	Central
2A	27090000	1	-0.995377	Central
2A	27120000	3	-1.42933	Central
2A	27140000	1	1.17882	Central
2A	27240000	3	-1.56654	Central
2A	27270000	1	-0.908196	Central
2A	27320000	5	-1.60619	Central
2A	27330000	4	-1.36309	Central
2A	27340000	11	-1.38589	Central
2A	27360000	4	-1.62088	Central
2A	27370000	14	-2.17626	Central
2A	27410000	4	-1.58289	Central
2A	27500000	1	-0.822346	Central
2A	27530000	4	-1.73484	Central
2A	27540000	3	-0.691627	Central
2A	27550000	18	-2.22503	Central
2A	27560000	5	-1.70277	Central
2A	27590000	5	-1.35215	Central
2A	27610000	7	-1.71055	Central
2A	27620000	5	-1.5428	Central
2A	27630000	15	-1.63987	Central
2A	27640000	7	-1.25869	Central
2A	27650000	2	-0.93642	Central
2A	27710000	9	-1.47191	Central
2A	27720000	14	-1.43923	Central
2A	27730000	21	-1.11336	Central
2A	27740000	21	-1.3013	Central
2A	27910000	6	-1.00469	Central
2A	27930000	1	-0.654639	Central
2A	27940000	2	-0.770381	Central
2A	27950000	1	-0.995377	Central
2A	28010000	3	-1.29422	Central
2A	28020000	6	-1.79968	Central
2A	28040000	7	-1.50824	Central
2A	28080000	2	-1.10604	Central
2A	28160000	4	-1.58289	Central
2A	28200000	10	-2.15546	Central
2A	28210000	1	-0.737827	Central
2A	28230000	6	-1.97244	Central
2A	28480000	17	-1.82417	Central
2A	28560000	1	-0.654639	Central
2A	28650000	1	-0.908196	Central
2A	28660000	1	-0.822346	Central
2A	28670000	10	-1.64115	Central
2A	28690000	1	-0.908196	Central
2A	28780000	10	-1.88271	Central
2A	28790000	6	-1.97244	Central
2A	28800000	4	-0.652648	Central
2A	28810000	9	-1.73699	Central
2A	28820000	3	-0.902151	Central
2A	28830000	6	-1.12162	Central
2A	29140000	4	-1.17721	Central
2A	29150000	23	-2.18223	Central
2A	29210000	5	-1.0739	Central
2A	29260000	2	-0.880477	Central
2A	29280000	4	-1.17779	Central
2A	29580000	3	-1.29492	Central
2A	29590000	4	-1.54664	Central
2A	29640000	1	-0.995377	Central
2A	29650000	3	-1.25337	Central
2A	29710000	1	-0.572782	Central
2A	29720000	2	-0.995944	Central
2A	29730000	1	-0.995377	Central
2A	29740000	1	-0.492256	Central
2A	29770000	2	-0.941791	Central
2A	29810000	14	-1.28797	Central
2A	29820000	8	-1.18707	Central
2A	29830000	2	-1.16556	Central
2A	29870000	12	-1.26803	Central
2A	29880000	8	-1.47646	Central
2A	29930000	2	-0.778437	Central
2A	29940000	3	-1.29422	Central
2A	29950000	1	-0.822346	Central
2A	30000000	4	-1.54548	Central
2A	30010000	14	-1.02528	Central
2A	30040000	2	-0.995944	Central
2A	30070000	9	-1.22888	Central
2A	30080000	9	-1.51927	Central
2A	30090000	3	-1.12315	Central
2A	30120000	4	-1.4379	Central
2A	30130000	19	-1.30187	Central
2A	30140000	12	-1.57367	Central
2A	30150000	31	-1.83382	Central
2A	30160000	26	-1.59671	Central
2A	30170000	15	-0.969151	Central
2A	30190000	2	-1.28013	Central
2A	30200000	8	-1.9068	Central
2A	30210000	1	-0.737827	Central
2A	30220000	2	-1.10604	Central
2A	30250000	2	-1.33876	Central
2A	30270000	4	-0.735581	Central
2A	30300000	30	-1.73312	Central
2A	30310000	1	-0.995377	Central
2A	30330000	1	-0.908196	Central
2A	30450000	4	-1.65886	Central
2A	30460000	1	-0.995377	Central
2A	30560000	20	-2.54484	Central
2A	30570000	2	-1.16377	Central
2A	30760000	4	1.55175	Central
2A	30850000	4	-1.14677	Central
2A	30860000	7	-1.53244	Central
2A	30870000	3	0.508319	Central
2A	30920000	1	-0.995377	Central
2A	30930000	2	1.19792	Central
2A	30950000	1	-0.995377	Central
2A	31040000	2	-1.2224	Central
2A	31070000	28	-1.35635	Central
2A	31080000	18	-1.90613	Central
2A	31140000	5	-0.524645	Central
2A	31160000	5	-0.785424	Central
2A	31170000	8	0.00278361	Central
2A	31200000	3	-1.12454	Central
2A	31550000	1	-0.908196	Central
2A	31590000	1	1.8796	Central
2A	31600000	1	1.89757	Central
2A	31640000	1	-0.908196	Central
2A	31650000	3	-1.42933	Central
2A	31660000	1	-0.908196	Central
2A	31680000	1	-0.908196	Central
2A	31700000	1	-0.995377	Central
