CHROM	BIN_START	N_SNPS	TajimaD	Region
5A	4030000	23	-0.548956	Central
5A	4040000	5	-0.244152	Central
5A	4050000	15	-0.0781642	Central
5A	4090000	3	-1.47576	Central
5A	4110000	24	-0.0992743	Central
5A	4120000	7	-1.3506	Central
5A	4140000	1	0.239798	Central
5A	4200000	43	-1.57274	Central
5A	4210000	1	-0.737827	Central
5A	4220000	10	-1.70519	Central
5A	4230000	1	-0.413061	Central
5A	4270000	14	-1.49443	Central
5A	4280000	4	-0.135911	Central
5A	4290000	8	-0.633802	Central
5A	4310000	1	-0.822346	Central
5A	4350000	3	-0.216467	Central
5A	4420000	4	-0.915076	Central
5A	4570000	2	-1.22151	Central
5A	4640000	1	-0.908196	Central
5A	4660000	3	-0.45073	Central
5A	4670000	1	-0.258664	Central
5A	4690000	8	-1.92803	Central
5A	4710000	5	-1.44823	Central
5A	4840000	4	0.688199	Central
5A	4880000	3	-1.24988	Central
5A	4950000	44	-0.411083	Central
5A	4970000	5	-1.2416	Central
5A	4980000	21	-0.149349	Central
5A	4990000	5	1.29032	Central
5A	5280000	1	0.891325	Central
5A	5290000	6	0.324184	Central
5A	5340000	9	1.2594	Central
5A	5470000	4	-1.17779	Central
5A	5650000	24	-1.2645	Central
5A	5700000	9	-1.75642	Central
5A	5710000	2	-0.163063	Central
5A	5720000	1	-0.908196	Central
5A	5970000	3	0.48423	Central
5A	5980000	5	-1.86622	Central
5A	5990000	2	-0.269131	Central
5A	6000000	7	-0.248507	Central
5A	6150000	3	-1.07951	Central
5A	6160000	7	0.9327	Central
5A	6170000	3	-0.697213	Central
5A	6180000	1	-0.0370517	Central
5A	6190000	27	-1.41774	Central
5A	6200000	1	-0.908196	Central
5A	6250000	5	-0.470493	Central
5A	6280000	5	1.42633	Central
5A	6290000	3	-0.440257	Central
5A	6420000	7	3.02117	Central
5A	6430000	21	3.07032	Central
5A	6440000	2	2.47074	Central
5A	6450000	2	-1.05099	Central
5A	6480000	7	1.21078	Central
5A	6490000	42	0.592037	Central
5A	6500000	8	-0.683937	Central
5A	6510000	21	-0.954966	Central
5A	6520000	16	0.341679	Central
5A	6560000	27	0.458794	Central
5A	6590000	14	2.5983	Central
5A	6600000	18	3.04211	Central
5A	6610000	16	-0.877464	Central
5A	6620000	16	0.888064	Central
5A	6660000	5	-0.0682201	Central
5A	6670000	3	-0.0488862	Central
5A	6710000	2	-0.139343	Central
5A	6790000	8	-1.00919	Central
5A	6890000	3	-1.25058	Central
5A	6930000	2	-1.0492	Central
5A	6960000	8	-0.947635	Central
5A	6970000	1	-0.737827	Central
5A	7000000	2	-0.880477	Central
5A	7010000	2	-1.16556	Central
5A	7100000	4	-0.86172	Central
5A	7110000	1	-0.908196	Central
5A	7160000	1	-0.413061	Central
5A	7170000	3	-1.25058	Central
5A	7180000	12	-1.06066	Central
5A	7190000	9	-0.993036	Central
5A	7350000	2	-0.771276	Central
5A	7360000	8	0.0795022	Central
5A	7470000	1	-0.822346	Central
5A	7480000	1	-0.737827	Central
5A	7490000	2	0.497961	Central
5A	7500000	3	-1.10185	Central
5A	7550000	1	-0.908196	Central
5A	7560000	1	-0.737827	Central
5A	7570000	1	-0.995377	Central
5A	7610000	5	-0.933905	Central
5A	7620000	5	-0.182014	Central
5A	7650000	3	-1.03237	Central
5A	7660000	4	-1.62088	Central
5A	7710000	20	-1.13551	Central
5A	7800000	3	-1.12315	Central
5A	8050000	7	0.292306	Central
5A	8060000	9	0.326804	Central
5A	8070000	12	1.34418	Central
5A	8110000	18	1.51392	Central
5A	8140000	3	-1.33995	Central
5A	8150000	2	-1.22151	Central
5A	8180000	11	0.643949	Central
5A	8230000	23	1.75671	Central
5A	8240000	5	1.38715	Central
5A	8490000	1	-0.822346	Central
5A	8660000	1	-0.995377	Central
5A	8900000	1	-0.995377	Central
5A	8910000	2	-1.33876	Central
5A	8950000	2	-1.28013	Central
5A	9320000	4	-1.36425	Central
5A	9330000	37	-2.06979	Central
5A	9370000	4	0.31906	Central
5A	9380000	11	-1.72791	Central
5A	9390000	4	-1.58347	Central
5A	9470000	1	-0.654639	Central
5A	9480000	1	0.0341571	Central
5A	9490000	5	1.73552	Central
5A	9500000	10	-1.39401	Central
5A	9510000	5	1.609	Central
5A	9580000	1	0.992482	Central
5A	9590000	11	2.02698	Central
5A	9600000	20	0.307898	Central
5A	9610000	9	-0.140473	Central
5A	9650000	42	0.0764045	Central
5A	9660000	1	-0.822346	Central
5A	9830000	34	-0.316194	Central
5A	9840000	2	-0.993259	Central
5A	9850000	2	-1.10604	Central
5A	10190000	3	1.44991	Central
5A	10200000	2	-1.05099	Central
5A	10320000	1	-0.737827	Central
5A	10470000	5	1.69484	Central
5A	10480000	9	0.677302	Central
5A	10540000	6	0.475842	Central
5A	10550000	6	0.601783	Central
5A	10620000	2	-0.665656	Central
5A	10630000	1	-0.908196	Central
5A	10650000	3	-1.20624	Central
5A	10660000	1	-0.908196	Central
5A	10670000	2	-0.297326	Central
5A	10700000	3	-1.38499	Central
5A	10720000	13	-2.01073	Central
5A	10770000	1	-0.109592	Central
5A	10790000	5	0.113451	Central
5A	10800000	7	-1.45943	Central
5A	10830000	9	-1.13529	Central
5A	10840000	1	0.172582	Central
5A	10850000	8	-0.346018	Central
5A	10870000	11	-1.40031	Central
5A	10910000	4	0.473037	Central
5A	10920000	2	-1.33876	Central
5A	10930000	6	0.0777961	Central
5A	11010000	2	-0.417268	Central
5A	11020000	1	0.0341571	Central
5A	11050000	3	0.777496	Central
5A	11060000	6	1.39414	Central
5A	11110000	2	-0.202447	Central
5A	11130000	4	0.528133	Central
5A	11210000	1	0.67304	Central
5A	11260000	3	-1.1612	Central
5A	11360000	2	-0.993259	Central
5A	11530000	1	0.555912	Central
5A	11580000	4	-0.791256	Central
5A	11780000	2	-0.884058	Central
5A	11880000	1	-0.995377	Central
5A	11920000	1	-0.413061	Central
5A	11930000	2	-0.454415	Central
5A	11940000	2	-0.63567	Central
5A	11960000	1	-0.413061	Central
5A	11970000	3	-0.793572	Central
5A	12000000	1	-0.995377	Central
5A	12040000	26	-1.91803	Central
5A	12130000	8	-1.23453	Central
5A	12190000	1	-0.258664	Central
5A	12200000	1	-0.995377	Central
5A	12210000	15	-1.88142	Central
5A	12340000	6	-1.82891	Central
5A	12400000	1	0.67304	Central
5A	12410000	22	-1.77752	Central
5A	12540000	4	-1.40165	Central
5A	12550000	7	-0.53938	Central
5A	12560000	1	1.87095	Central
5A	12710000	1	-0.995377	Central
5A	12810000	9	-1.57627	Central
5A	12820000	18	-1.83904	Central
5A	12870000	3	-0.912624	Central
5A	12880000	3	-0.568386	Central
5A	13040000	3	-1.21532	Central
5A	13050000	1	-0.995377	Central
5A	13070000	3	-1.11756	Central
5A	13090000	17	-1.80133	Central
5A	13110000	4	-1.54606	Central
5A	13210000	1	-0.822346	Central
5A	13330000	2	-1.16377	Central
5A	13410000	8	-1.9489	Central
5A	13440000	2	-0.941791	Central
5A	13490000	6	-1.82847	Central
5A	13640000	1	-0.822346	Central
5A	13880000	1	-0.908196	Central
5A	14100000	2	-1.2224	Central
5A	14190000	9	-2.11362	Central
5A	14220000	1	-0.737827	Central
5A	14250000	16	-2.35547	Central
5A	14260000	2	-0.197076	Central
5A	14270000	3	-1.11756	Central
5A	14280000	9	-0.730734	Central
5A	14410000	4	-0.880278	Central
5A	14500000	2	-1.16377	Central
5A	14830000	2	-1.22151	Central
5A	14840000	4	-0.766898	Central
5A	14920000	1	0.239798	Central
5A	14950000	8	-0.3751	Central
5A	15030000	2	-0.941791	Central
5A	15040000	1	0.370236	Central
5A	15100000	2	-1.33876	Central
5A	15120000	3	-1.5208	Central
5A	15330000	2	-1.10604	Central
5A	15340000	1	-0.737827	Central
5A	15440000	1	-0.737827	Central
5A	15840000	8	-1.65791	Central
5A	15860000	9	-1.62968	Central
5A	15900000	3	-1.42933	Central
5A	15920000	1	-0.822346	Central
5A	16060000	1	-0.995377	Central
5A	16200000	1	-0.908196	Central
5A	16460000	4	-1.62088	Central
5A	16470000	2	-1.28013	Central
5A	16490000	1	-0.492256	Central
5A	16620000	1	-0.737827	Central
5A	16630000	1	-0.258664	Central
5A	16970000	3	-0.989781	Central
5A	16980000	6	-1.3535	Central
5A	17140000	1	-0.492256	Central
5A	17220000	1	-0.335197	Central
5A	17390000	5	-0.891981	Central
5A	17430000	1	-0.737827	Central
5A	17520000	3	2.72562	Central
5A	17570000	2	-1.16556	Central
5A	17580000	1	0.838751	Central
5A	17620000	15	-0.841337	Central
5A	17670000	8	-1.17226	Central
5A	17830000	3	0.918542	Central
5A	17840000	3	-1.1612	Central
5A	18090000	7	-1.36162	Central
5A	18120000	2	-1.2224	Central
5A	18160000	3	-1.29631	Central
5A	18230000	11	-0.002718	Central
5A	18320000	2	0.723076	Central
5A	18380000	10	-1.88482	Central
5A	18400000	1	-0.995377	Central
5A	18430000	2	-1.28013	Central
5A	18470000	1	-0.109592	Central
5A	18650000	1	-0.654639	Central
5A	18660000	6	0.438477	Central
5A	18670000	44	-0.551226	Central
5A	18680000	21	0.403618	Central
5A	18690000	13	-1.72891	Central
5A	18710000	7	0.73393	Central
5A	18760000	46	-2.49244	Central
5A	18780000	7	-1.75581	Central
5A	18790000	55	1.59224	Central
5A	18810000	6	1.93461	Central
5A	18850000	3	-1.38429	Central
5A	18890000	1	-0.335197	Central
5A	18900000	16	-0.662181	Central
5A	18910000	24	1.77295	Central
5A	18920000	9	0.42529	Central
5A	18940000	2	0.613875	Central
5A	18950000	7	-0.737363	Central
5A	19100000	1	-0.737827	Central
5A	19110000	2	1.8585	Central
5A	19160000	6	-1.60252	Central
5A	19220000	10	-0.0606909	Central
5A	19230000	5	0.0912416	Central
5A	19260000	5	-0.436305	Central
5A	19270000	1	-0.995377	Central
5A	19590000	1	-0.908196	Central
5A	19650000	2	2.44165	Central
5A	19660000	7	-0.489196	Central
5A	19680000	7	0.545984	Central
5A	19880000	3	-1.56654	Central
5A	19910000	8	0.182983	Central
5A	19970000	9	2.90426	Central
5A	19980000	4	0.951207	Central
5A	20360000	7	-1.88236	Central
5A	20990000	14	-0.679806	Central
5A	21400000	4	-1.5104	Central
5A	21830000	3	-1.1619	Central
5A	22220000	1	1.3818	Central
5A	22570000	1	-0.258664	Central
5A	22590000	1	-0.995377	Central
5A	22710000	5	-1.0492	Central
5A	22730000	1	-0.995377	Central
5A	23480000	1	-0.995377	Central
5A	23610000	1	-0.822346	Central
5A	23760000	2	-1.00042	Central
5A	23820000	4	-0.0100619	Central
5A	23850000	16	-1.48781	Central
5A	23930000	3	-0.935667	Central
5A	23940000	2	-0.473211	Central
5A	24050000	4	-1.47241	Central
5A	24130000	8	-1.79207	Central
5A	24140000	9	-0.573124	Central
5A	24160000	3	-0.956265	Central
5A	24170000	3	-0.0478388	Central
5A	24180000	3	0.00348277	Central
5A	24200000	5	0.53469	Central
5A	24380000	10	-0.587962	Central
5A	24390000	4	-0.521579	Central
5A	24400000	6	-1.03106	Central
5A	24410000	77	-1.46104	Central
5A	24580000	3	-0.407788	Central
5A	24700000	2	-1.2224	Central
5A	24770000	4	1.2003	Central
5A	24790000	3	0.166176	Central
5A	24970000	6	0.48815	Central
5A	25000000	22	1.72107	Central
5A	25010000	3	0.376699	Central
5A	25020000	17	0.981794	Central
5A	25050000	10	1.57492	Central
5A	25070000	6	1.648	Central
5A	25090000	3	1.80009	Central
5A	25100000	2	-0.13621	Central
5A	25110000	10	2.14665	Central
5A	25480000	4	-0.0663171	Central
5A	25570000	5	-1.45122	Central
5A	25600000	1	-0.737827	Central
5A	25700000	10	0.836228	Central
5A	25830000	10	1.86199	Central
5A	25840000	7	-0.300659	Central
5A	25860000	11	0.64059	Central
5A	25880000	2	1.16167	Central
5A	25890000	3	2.33634	Central
5A	25900000	2	-1.33876	Central
5A	26130000	2	-0.483057	Central
5A	26140000	42	-2.06913	Central
5A	26150000	5	-0.895475	Central
5A	26420000	1	-0.822346	Central
5A	26440000	1	-0.413061	Central
5A	26460000	5	-0.257628	Central
5A	26710000	9	-2.02836	Central
5A	26720000	1	-0.995377	Central
5A	26780000	3	-1.33995	Central
5A	26960000	2	-1.2224	Central
5A	27220000	1	-0.908196	Central
5A	27320000	1	-0.737827	Central
5A	27420000	1	-0.822346	Central
5A	27450000	1	-0.995377	Central
5A	27510000	4	-1.28653	Central
5A	27770000	1	-0.995377	Central
5A	27780000	1	-0.995377	Central
5A	28000000	1	-0.995377	Central
5A	28100000	1	0.239798	Central
5A	28110000	4	0.211189	Central
5A	28140000	1	-0.737827	Central
5A	28220000	4	0.0763508	Central
5A	28390000	7	-1.90578	Central
5A	28490000	3	-1.12035	Central
5A	28600000	18	-1.50353	Central
5A	28670000	7	-1.17249	Central
5A	28690000	7	-0.963292	Central
5A	28700000	4	-0.587693	Central
5A	28750000	1	-0.737827	Central
5A	28820000	7	-1.80541	Central
5A	28910000	1	-0.908196	Central
5A	29110000	1	-0.572782	Central
5A	29120000	29	-1.19188	Central
5A	29160000	3	-1.24988	Central
5A	29180000	11	-0.199755	Central
5A	29190000	5	-1.28028	Central
5A	29500000	3	-0.651129	Central
5A	29510000	2	-1.05099	Central
5A	29600000	1	-0.822346	Central
5A	29610000	1	-0.737827	Central
5A	29620000	4	0.824488	Central
5A	29670000	4	0.0725811	Central
5A	29680000	8	-0.7669	Central
5A	29700000	2	-0.66297	Central
5A	29710000	1	-0.654639	Central
5A	29720000	1	-0.822346	Central
5A	29800000	4	-1.14213	Central
5A	29850000	1	-0.995377	Central
5A	29880000	2	-0.377884	Central
5A	29890000	1	-0.995377	Central
5A	29900000	4	-1.28595	Central
5A	30090000	2	-0.93642	Central
5A	30200000	3	-1.33926	Central
5A	30210000	17	-1.15442	Central
5A	30390000	2	-0.773962	Central
5A	30400000	2	-0.261075	Central
5A	30410000	14	-1.30621	Central
5A	30420000	13	-1.61809	Central
5A	30520000	2	-1.28013	Central
5A	30560000	3	-1.16958	Central
5A	30630000	15	0.444552	Central
5A	30640000	8	-1.1951	Central
5A	30660000	1	-0.995377	Central
5A	30670000	2	-0.50812	Central
5A	30680000	6	-1.91485	Central
5A	30780000	2	-0.992364	Central
5A	30840000	6	-1.57769	Central
5A	31080000	11	-2.06685	Central
5A	31090000	7	-1.68871	Central
5A	31130000	5	0.195054	Central
5A	31140000	1	-0.822346	Central
5A	31160000	2	-1.22151	Central
5A	31210000	12	-0.685636	Central
5A	31220000	4	0.863344	Central
5A	31260000	14	0.491261	Central
5A	31280000	15	-1.90642	Central
5A	31290000	4	-0.893617	Central
5A	31300000	10	-1.6086	Central
5A	31310000	1	-0.908196	Central
5A	31400000	2	-1.22151	Central
5A	31430000	4	-1.17895	Central
5A	31450000	2	-1.05099	Central
5A	31570000	2	0.787523	Central
5A	32110000	3	-0.859208	Central
5A	32130000	2	0.624616	Central
5A	32150000	20	-2.00217	Central
5A	32180000	1	-0.995377	Central
5A	32190000	6	-1.04974	Central
5A	32660000	16	-0.820953	Central
5A	32700000	9	-0.52233	Central
5A	32730000	1	-0.995377	Central
5A	32800000	13	-1.04366	Central
5A	32830000	2	-0.716228	Central
5A	32850000	8	-1.56495	Central
5A	32890000	9	-1.75708	Central
5A	32980000	17	-1.3111	Central
5A	32990000	3	-0.625643	Central
5A	33000000	4	-0.315696	Central
5A	33120000	28	-0.155214	Central
5A	33130000	3	-0.322252	Central
5A	33150000	1	-0.908196	Central
5A	33180000	5	-0.823605	Central
5A	33310000	4	-1.62262	Central
5A	33870000	14	-0.713753	Central
5A	33930000	7	-1.67965	Central
5A	34260000	2	-1.28013	Central
5A	34300000	1	-0.654639	Central
5A	34320000	37	-1.62431	Central
5A	34330000	21	-0.83782	Central
5A	34520000	4	-1.65944	Central
5A	34650000	9	-0.771892	Central
5A	34840000	1	-0.995377	Central
5A	34900000	1	0.370236	Central
5A	34980000	7	-0.279995	Central
5A	35190000	3	0.242634	Central
5A	35250000	2	-0.216768	Central
5A	35270000	6	-1.25305	Central
5A	35620000	5	-0.860039	Central
5A	35630000	11	-1.33593	Central
5A	35640000	5	-1.20791	Central
5A	35650000	2	0.184232	Central
5A	35680000	2	-1.22151	Central
5A	35690000	1	-0.995377	Central
5A	35700000	2	-1.33876	Central
5A	35730000	1	-0.995377	Central
5A	35800000	3	-1.5208	Central
5A	35810000	2	-0.191258	Central
5A	35820000	20	-0.370206	Central
5A	35830000	1	-0.995377	Central
5A	36010000	10	-1.41978	Central
5A	36020000	11	-0.236279	Central
5A	36210000	1	0.172582	Central
5A	36250000	1	-0.908196	Central
5A	36280000	10	-0.494081	Central
5A	36290000	3	0.0101162	Central
5A	36310000	3	-0.624246	Central
5A	36320000	9	-1.26563	Central
5A	36330000	3	-0.691278	Central
5A	36360000	1	-0.995377	Central
5A	36370000	4	0.493626	Central
5A	36480000	5	-1.39732	Central
5A	36490000	5	-1.60669	Central
5A	36750000	9	-1.79023	Central
5A	36770000	3	-0.402551	Central
5A	36810000	5	-1.73845	Central
5A	36820000	11	-1.48637	Central
5A	36930000	4	-1.69685	Central
5A	36940000	2	-0.646411	Central
5A	36950000	1	-0.335197	Central
5A	37050000	2	-1.33876	Central
5A	37070000	1	-0.822346	Central
5A	37080000	14	-1.19317	Central
5A	37130000	1	-0.995377	Central
5A	37150000	2	-1.33876	Central
5A	37170000	1	-0.908196	Central
5A	37190000	5	-1.64487	Central
5A	37330000	3	-0.650081	Central
5A	37400000	2	-1.33876	Central
5A	37420000	6	-1.3135	Central
5A	37590000	7	-1.54504	Central
5A	37600000	1	-0.737827	Central
5A	37610000	13	-1.52443	Central
5A	37620000	2	0.212875	Central
5A	37630000	2	-0.938211	Central
5A	37640000	2	-0.694299	Central
5A	37770000	3	-1.17447	Central
5A	37780000	1	-0.908196	Central
5A	37830000	5	-1.83353	Central
5A	37920000	6	-1.91485	Central
5A	37930000	5	-1.70426	Central
5A	37960000	18	-2.39091	Central
5A	37970000	19	-2.29198	Central
5A	37980000	3	-1.5208	Central
5A	38010000	2	0.14261	Central
5A	38050000	3	-1.5208	Central
5A	38100000	1	-0.995377	Central
5A	38110000	7	-1.58164	Central
5A	38120000	1	-0.995377	Central
5A	38130000	6	-1.60604	Central
5A	38140000	4	-1.39701	Central
5A	38190000	2	-1.33876	Central
5A	38490000	4	-1.69685	Central
5A	38530000	1	-0.995377	Central
5A	38710000	5	-1.70776	Central
5A	38720000	4	-0.771828	Central
5A	38730000	3	-1.56654	Central
5A	38740000	3	-1.56654	Central
5A	38770000	2	-1.33876	Central
5A	38790000	3	-1.56654	Central
5A	38820000	1	-0.413061	Central
5A	39240000	1	-0.995377	Central
5A	39730000	1	-0.995377	Central
5A	39840000	2	-0.553322	Central
5A	39850000	2	-1.22151	Central
5A	39920000	2	-1.33876	Central
5A	39930000	2	-1.33876	Central
5A	40070000	8	-2.13481	Central
5A	40160000	1	-0.995377	Central
5A	40240000	1	-0.654639	Central
5A	40290000	1	-0.822346	Central
5A	40610000	16	-1.85576	Central
5A	40620000	2	-0.938211	Central
5A	40690000	1	-0.654639	Central
5A	40750000	1	-0.908196	Central
5A	40830000	2	-0.770381	Central
5A	41040000	3	-1.0041	Central
5A	41080000	2	-0.420401	Central
5A	41330000	1	-0.572782	Central
5A	41340000	2	-1.10962	Central
5A	41350000	1	-0.908196	Central
5A	41360000	1	-0.908196	Central
5A	41420000	8	1.4492	Central
5A	41430000	3	-1.38429	Central
5A	41450000	1	1.80772	Central
5A	41470000	4	-1.47241	Central
5A	41490000	1	-0.413061	Central
5A	41500000	1	-0.413061	Central
5A	41700000	2	-1.22151	Central
5A	41860000	1	0.615142	Central
5A	41870000	1	-0.413061	Central
5A	41880000	1	-0.737827	Central
5A	42080000	1	-0.908196	Central
5A	42100000	1	1.79109	Central
5A	42120000	2	2.35796	Central
5A	42280000	1	0.239798	Central
5A	42340000	1	-0.492256	Central
5A	42620000	1	-0.737827	Central
5A	43180000	4	-0.26901	Central
5A	43860000	1	-0.908196	Central
5A	44100000	3	-1.56654	Central
5A	44110000	14	-1.54119	Central
5A	44260000	6	-1.62956	Central
5A	44270000	1	-0.908196	Central
5A	44280000	10	-1.40908	Central
5A	44290000	1	1.17882	Central
5A	44300000	2	-1.10604	Central
5A	44350000	13	-1.35993	Central
5A	44880000	1	-0.995377	Central
5A	44890000	9	-1.69812	Central
5A	44990000	17	-1.53698	Central
5A	45240000	3	-1.13432	Central
5A	45370000	4	-0.928704	Central
5A	45520000	2	-1.33876	Central
5A	45530000	4	-0.754429	Central
5A	45670000	3	-1.07462	Central
5A	45820000	6	-1.38229	Central
5A	45880000	8	-1.58458	Central
5A	45910000	7	-1.757	Central
5A	45920000	1	-0.908196	Central
5A	45980000	1	-0.413061	Central
5A	46050000	2	-1.10604	Central
5A	46140000	1	-0.737827	Central
5A	46150000	2	-1.10604	Central
5A	46230000	13	-0.295401	Central
5A	46240000	1	1.90089	Central
5A	46270000	1	-0.413061	Central
5A	46410000	1	-0.413061	Central
5A	46420000	2	2.55622	Central
5A	46430000	1	-0.995377	Central
5A	46490000	8	-0.463059	Central
5A	46500000	12	2.88844	Central
5A	46510000	1	-0.572782	Central
5A	46570000	1	1.84965	Central
5A	46580000	1	-0.654639	Central
5A	46630000	3	2.95604	Central
5A	46710000	5	3.53502	Central
5A	46950000	18	4.47366	Central
5A	46960000	10	4.24518	Central
5A	47120000	29	0.919076	Central
5A	47440000	4	2.28567	Central
5A	47450000	11	3.18695	Central
5A	47460000	9	0.790814	Central
5A	47530000	7	3.89005	Central
5A	47540000	1	-0.413061	Central
5A	47640000	9	2.9232	Central
5A	47650000	43	1.58114	Central
5A	47660000	8	3.2751	Central
5A	47670000	4	1.03762	Central
5A	47950000	1	-0.654639	Central
5A	47960000	1	-0.995377	Central
5A	48170000	3	1.67405	Central
5A	48340000	1	-0.908196	Central
5A	48460000	5	0.460324	Central
5A	48470000	1	1.89291	Central
5A	48720000	11	-1.37764	Central
5A	48750000	2	-0.827219	Central
5A	48760000	20	-2.02706	Central
5A	48770000	3	1.60143	Central
5A	48820000	4	-1.29349	Central
5A	48880000	16	-0.173861	Central
5A	48920000	1	-0.822346	Central
5A	48960000	6	2.87708	Central
5A	49850000	7	3.2408	Central
5A	49960000	4	-1.54722	Central
5A	50730000	3	-0.945791	Central
5A	50740000	9	-1.25387	Central
5A	51030000	1	-0.822346	Central
5A	51040000	3	-1.20903	Central
5A	51200000	6	-1.41152	Central
5A	51210000	3	-1.47576	Central
5A	51220000	6	-1.29723	Central
5A	51350000	6	-0.730164	Central
5A	51460000	1	1.90289	Central
5A	51470000	3	1.63111	Central
5A	51550000	1	-0.822346	Central
5A	51670000	6	3.75296	Central
5A	51710000	16	-1.9515	Central
5A	51730000	1	-0.822346	Central
5A	51740000	4	2.07689	Central
5A	51800000	1	1.88692	Central
5A	51880000	2	2.53787	Central
5A	51890000	1	1.8796	Central
5A	51940000	5	3.55698	Central
5A	52000000	6	3.67273	Central
5A	52170000	1	-0.995377	Central
5A	52270000	1	-0.908196	Central
5A	52280000	3	2.96198	Central
5A	52320000	2	-1.16556	Central
5A	52340000	8	0.405646	Central
5A	52410000	2	0.727104	Central
5A	52440000	4	-0.105174	Central
5A	52480000	1	-0.995377	Central
5A	52490000	6	-0.118699	Central
5A	52500000	2	2.55443	Central
5A	52520000	1	0.239798	Central
5A	52710000	2	2.55443	Central
5A	52850000	8	-0.101411	Central
5A	53240000	3	2.98083	Central
5A	53300000	25	-1.82617	Central
5A	53330000	2	2.5598	Central
5A	53570000	10	-0.864784	Central
5A	53630000	1	-0.995377	Central
5A	54460000	3	0.121138	Central
5A	54480000	2	-1.33876	Central
5A	54730000	2	2.54906	Central
5A	54750000	10	-1.28717	Central
5A	54760000	1	1.89757	Central
5A	55020000	2	-1.16377	Central
5A	55150000	1	1.90089	Central
5A	55160000	6	-1.49087	Central
5A	55260000	1	1.89757	Central
5A	55270000	2	2.55443	Central
5A	55290000	1	-0.995377	Central
5A	55380000	1	-0.822346	Central
5A	55620000	2	-0.93642	Central
5A	56310000	4	-1.435	Central
5A	56370000	3	-1.33995	Central
5A	56430000	1	-0.572782	Central
5A	56600000	1	-0.737827	Central
5A	56680000	2	-1.10604	Central
5A	56730000	1	1.87095	Central
5A	56780000	4	-0.839102	Central
5A	57010000	1	-0.995377	Central
5A	57030000	3	2.95744	Central
5A	57040000	3	2.97909	Central
5A	57120000	1	-0.822346	Central
5A	57360000	1	1.89757	Central
